image_id,split,source_image,processed_image,width,height,min_intensity,max_intensity,mean_intensity,foreground_fraction
train_000,train,/content/nuclei_dataset/train/images/train_000.png,/content/outputs/preprocessed/train/images/train_000.png,256,256,0.0,0.3529411852359772,0.023268815129995346,0.0193328857421875
train_001,train,/content/nuclei_dataset/train/images/train_001.png,/content/outputs/preprocessed/train/images/train_001.png,256,256,0.0,0.3529411852359772,0.036390118300914764,0.0860443115234375
train_002,train,/content/nuclei_dataset/train/images/train_002.png,/content/outputs/preprocessed/train/images/train_002.png,256,256,0.0,0.3529411852359772,0.020197611302137375,0.040679931640625
train_003,train,/content/nuclei_dataset/train/images/train_003.png,/content/outputs/preprocessed/train/images/train_003.png,256,256,0.0,0.3529411852359772,0.043696627020835876,0.1015167236328125
train_004,train,/content/nuclei_dataset/train/images/train_004.png,/content/outputs/preprocessed/train/images/train_004.png,256,256,0.0,0.3529411852359772,0.07168136537075043,0.202789306640625
train_005,train,/content/nuclei_dataset/train/images/train_005.png,/content/outputs/preprocessed/train/images/train_005.png,256,256,0.0,0.3529411852359772,0.036517757922410965,0.1045074462890625
train_006,train,/content/nuclei_dataset/train/images/train_006.png,/content/outputs/preprocessed/train/images/train_006.png,256,256,0.0,0.3529411852359772,0.019341804087162018,0.0138397216796875
train_007,train,/content/nuclei_dataset/train/images/train_007.png,/content/outputs/preprocessed/train/images/train_007.png,256,256,0.0,0.3529411852359772,0.02231217920780182,0.049591064453125
train_008,train,/content/nuclei_dataset/train/images/train_008.png,/content/outputs/preprocessed/train/images/train_008.png,256,256,0.0,0.3529411852359772,0.021429743617773056,0.045654296875
train_009,train,/content/nuclei_dataset/train/images/train_009.png,/content/outputs/preprocessed/train/images/train_009.png,256,256,0.0,0.3529411852359772,0.03181116282939911,0.0624542236328125
train_010,train,/content/nuclei_dataset/train/images/train_010.png,/content/outputs/preprocessed/train/images/train_010.png,256,256,0.0,0.3529411852359772,0.05793403089046478,0.1543426513671875
train_011,train,/content/nuclei_dataset/train/images/train_011.png,/content/outputs/preprocessed/train/images/train_011.png,256,256,0.0,0.3529411852359772,0.041357722133398056,0.0822296142578125
train_012,train,/content/nuclei_dataset/train/images/train_012.png,/content/outputs/preprocessed/train/images/train_012.png,256,256,0.0,0.3529411852359772,0.02672831527888775,0.0455322265625
train_013,train,/content/nuclei_dataset/train/images/train_013.png,/content/outputs/preprocessed/train/images/train_013.png,256,256,0.0,0.3529411852359772,0.04122985154390335,0.0860595703125
train_014,train,/content/nuclei_dataset/train/images/train_014.png,/content/outputs/preprocessed/train/images/train_014.png,256,256,0.0,0.3529411852359772,0.04473027586936951,0.104583740234375
train_015,train,/content/nuclei_dataset/train/images/train_015.png,/content/outputs/preprocessed/train/images/train_015.png,256,256,0.0,0.3529411852359772,0.03555728495121002,0.0970306396484375
train_016,train,/content/nuclei_dataset/train/images/train_016.png,/content/outputs/preprocessed/train/images/train_016.png,256,256,0.0,0.3529411852359772,0.045401185750961304,0.1316680908203125
train_017,train,/content/nuclei_dataset/train/images/train_017.png,/content/outputs/preprocessed/train/images/train_017.png,256,256,0.0,0.3529411852359772,0.03889567032456398,0.091400146484375
train_018,train,/content/nuclei_dataset/train/images/train_018.png,/content/outputs/preprocessed/train/images/train_018.png,256,256,0.0,0.3529411852359772,0.024388091638684273,0.0229949951171875
train_019,train,/content/nuclei_dataset/train/images/train_019.png,/content/outputs/preprocessed/train/images/train_019.png,256,256,0.0,0.3529411852359772,0.03413427621126175,0.084625244140625
train_020,train,/content/nuclei_dataset/train/images/train_020.png,/content/outputs/preprocessed/train/images/train_020.png,256,256,0.0,0.3529411852359772,0.033866435289382935,0.0645599365234375
train_021,train,/content/nuclei_dataset/train/images/train_021.png,/content/outputs/preprocessed/train/images/train_021.png,256,256,0.0,0.3529411852359772,0.023302864283323288,0.0353851318359375
train_022,train,/content/nuclei_dataset/train/images/train_022.png,/content/outputs/preprocessed/train/images/train_022.png,256,256,0.0,0.3529411852359772,0.05237588658928871,0.144866943359375
